"","R2A_A_D1","R2A_A_D2","R2A_B_D1","R2A_B_D2","R2A_C_D1","R2A_C_D2","SF2_A_D1","SF2_A_D2","SF2_B_D1","SF2_B_D2","SF2_C_D1","SF2_C_D2","R1_A_D1","R1_A_D2","R1_B_D1","R1_B_D2","R1_C_D1","R1_C_D2","R2_A_D1","R2_A_D2","R2_B_D1","R2_B_D2","R2_C_D1","R2_C_D2"
"297",0,45.41,154.78,0,28.3,0,12.67,68.41,594.37,430.6,9.64,138.55,13.94,28.67,34.11,5.47,54.07,30.87,0,53.51,21.48,6.77,27.63,5.13
"298",0,0,0,0,0,5.43,0,11.4,0,11.18,0,5.13,980.31,1868.15,1608.22,5711.41,1872.82,884.95,427.19,326.39,112.76,1604.65,124.35,333.44
"299",5.59,11.35,5.34,0,0,0,0,34.2,30.74,16.78,3.21,20.53,4.65,4.78,9.75,0,54.07,92.61,38.84,15506.2,102.02,352.07,9.21,133.38
"302",0,0,0,0,0,0,0,0,10.25,0,0,0,2480.97,840.91,2373.34,1646.68,5515.25,509.36,77.67,53.51,1030.91,27.08,50.66,76.95
"304",184.4,2741.61,1905.42,1578.69,8517.94,1346.53,0,28.5,40.99,27.96,48.18,56.45,0,0,4.87,0,9.83,15.44,0,32.1,16.11,13.54,4.61,0
"305",0,5.68,0,0,0,0,0,5.7,107.6,67.11,9.64,71.84,41.81,4.78,190.06,5.47,285.1,421.89,210.82,3226.45,526.19,609.36,359.24,359.09
"306",0,851.43,715.2,2237.93,2943.07,2758.22,0,57.01,845.44,654.29,64.24,672.22,18.58,14.33,68.23,10.94,39.32,87.47,33.29,256.83,37.59,60.94,27.63,10.26
"307",3050.96,3496.54,8224.81,485.75,565.98,16.29,152.08,68.41,5.12,5.59,51.39,0,0,0,0,10.94,0,0,0,0,0,0,0,0
"308",4570.85,4098.22,4899.66,346.97,1024.42,70.58,107.72,433.24,112.73,128.62,208.77,92.37,0,0,0,5.47,4.92,5.15,0,21.4,0,13.54,0,15.39
"309",0,0,0,0,0,0,0,0,0,0,0,5.13,576.11,726.24,2607.26,2073.39,1066.67,303.56,1276.01,310.34,681.9,738,1856.06,2616.22
