node_name	node_disp_name	ntype	degree	weighted_degree	consensus_lin	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
133		otu_node	21	4908.97785751		otu	otu	otu	otu
1330		otu_node	19	493.559325412		otu	otu	otu	otu
1331		otu_node	11	650.464223755		otu	otu	otu	otu
1332		otu_node	11	512.86682911		otu	otu	otu	otu
1333		otu_node	6	233.28943892		otu	otu	otu	otu
1334		otu_node	17	320.615684929		otu	otu	otu	otu
1336		otu_node	15	350.353708042		otu	otu	otu	otu
1337		otu_node	10	732.661783858		otu	otu	otu	otu
1338		otu_node	17	221.256956495		otu	otu	otu	otu
1339		otu_node	11	888.459092966		otu	otu	otu	otu
134		otu_node	20	4671.04212371		otu	otu	otu	otu
1340		otu_node	6	292.914106373		otu	otu	otu	otu
1341		otu_node	8	515.553639995		otu	otu	otu	otu
1342		otu_node	6	1076.12534578		otu	otu	otu	otu
1343		otu_node	12	108.433983303		otu	otu	otu	otu
1344		otu_node	6	533.36310563		otu	otu	otu	otu
1345		otu_node	9	563.749427134		otu	otu	otu	otu
1346		otu_node	15	378.662566415		otu	otu	otu	otu
1347		otu_node	8	843.753011183		otu	otu	otu	otu
1348		otu_node	8	1692.87527724		otu	otu	otu	otu
1349		otu_node	16	818.746607772		otu	otu	otu	otu
135		otu_node	24	3782.1515682		otu	otu	otu	otu
1351		otu_node	10	1812.57805818		otu	otu	otu	otu
1352		otu_node	15	298.968501731		otu	otu	otu	otu
1354		otu_node	15	389.065875235		otu	otu	otu	otu
1355		otu_node	8	560.951727182		otu	otu	otu	otu
1356		otu_node	10	708.87626421		otu	otu	otu	otu
1357		otu_node	12	637.644513034		otu	otu	otu	otu
1358		otu_node	9	3627.52477662		otu	otu	otu	otu
136		otu_node	10	4982.71806324		otu	otu	otu	otu
1360		otu_node	11	1142.68632545		otu	otu	otu	otu
1361		otu_node	4	3624.55661174		otu	otu	otu	otu
1362		otu_node	11	779.227566532		otu	otu	otu	otu
1363		otu_node	20	362.927695481		otu	otu	otu	otu
1364		otu_node	6	1653.08287609		otu	otu	otu	otu
1365		otu_node	11	526.764894176		otu	otu	otu	otu
1366		otu_node	12	332.298042078		otu	otu	otu	otu
1367		otu_node	13	1739.55367617		otu	otu	otu	otu
1368		otu_node	9	582.830292339		otu	otu	otu	otu
1369		otu_node	12	756.469051738		otu	otu	otu	otu
137		otu_node	20	3167.70480698		otu	otu	otu	otu
1370		otu_node	7	650.684916214		otu	otu	otu	otu
1371		otu_node	12	319.741939929		otu	otu	otu	otu
1372		otu_node	20	769.271387312		otu	otu	otu	otu
1373		otu_node	5	2627.90806638		otu	otu	otu	otu
1374		otu_node	22	308.828798887		otu	otu	otu	otu
